model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--NousResearch--Meta-Llama-3.1-8B-Instruct,1,prefill,0,model.layers.0.self_attn.q_proj,linear,,B*S,4096,4096,,model.layers.0.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,2,prefill,0,model.layers.0.self_attn.k_proj,linear,,B*S,1024,4096,,model.layers.0.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,3,prefill,0,model.layers.0.self_attn.v_proj,linear,,B*S,1024,4096,,model.layers.0.self_attn.v_proj.weight,"[1024,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,4,prefill,0,model.layers.0.self_attn.qk,batched_matmul,B*QH,S,S,128,1;2,,,config+architecture,"GQA QH=32, KVH=8"
models--NousResearch--Meta-Llama-3.1-8B-Instruct,5,prefill,0,model.layers.0.self_attn.pv,batched_matmul,B*QH,S,128,S,4;3,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--NousResearch--Meta-Llama-3.1-8B-Instruct,6,prefill,0,model.layers.0.self_attn.o_proj,linear,,B*S,4096,4096,5,model.layers.0.self_attn.o_proj.weight,"[4096,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,7,prefill,0,model.layers.0.mlp.gate_proj,linear,,B*S,14336,4096,6,model.layers.0.mlp.gate_proj.weight,"[14336,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,8,prefill,0,model.layers.0.mlp.up_proj,linear,,B*S,14336,4096,6,model.layers.0.mlp.up_proj.weight,"[14336,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,9,prefill,0,model.layers.0.mlp.down_proj,linear,,B*S,4096,14336,7;8,model.layers.0.mlp.down_proj.weight,"[4096,14336]",config+architecture,SiLU(gate)*up precedes this GEMM
models--NousResearch--Meta-Llama-3.1-8B-Instruct,10,prefill,1,model.layers.1.self_attn.q_proj,linear,,B*S,4096,4096,9,model.layers.1.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,11,prefill,1,model.layers.1.self_attn.k_proj,linear,,B*S,1024,4096,9,model.layers.1.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,12,prefill,1,model.layers.1.self_attn.v_proj,linear,,B*S,1024,4096,9,model.layers.1.self_attn.v_proj.weight,"[1024,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,13,prefill,1,model.layers.1.self_attn.qk,batched_matmul,B*QH,S,S,128,10;11,,,config+architecture,"GQA QH=32, KVH=8"
models--NousResearch--Meta-Llama-3.1-8B-Instruct,14,prefill,1,model.layers.1.self_attn.pv,batched_matmul,B*QH,S,128,S,13;12,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--NousResearch--Meta-Llama-3.1-8B-Instruct,15,prefill,1,model.layers.1.self_attn.o_proj,linear,,B*S,4096,4096,14,model.layers.1.self_attn.o_proj.weight,"[4096,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,16,prefill,1,model.layers.1.mlp.gate_proj,linear,,B*S,14336,4096,15,model.layers.1.mlp.gate_proj.weight,"[14336,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,17,prefill,1,model.layers.1.mlp.up_proj,linear,,B*S,14336,4096,15,model.layers.1.mlp.up_proj.weight,"[14336,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,18,prefill,1,model.layers.1.mlp.down_proj,linear,,B*S,4096,14336,16;17,model.layers.1.mlp.down_proj.weight,"[4096,14336]",config+architecture,SiLU(gate)*up precedes this GEMM
models--NousResearch--Meta-Llama-3.1-8B-Instruct,19,prefill,2,model.layers.2.self_attn.q_proj,linear,,B*S,4096,4096,18,model.layers.2.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,20,prefill,2,model.layers.2.self_attn.k_proj,linear,,B*S,1024,4096,18,model.layers.2.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,21,prefill,2,model.layers.2.self_attn.v_proj,linear,,B*S,1024,4096,18,model.layers.2.self_attn.v_proj.weight,"[1024,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,22,prefill,2,model.layers.2.self_attn.qk,batched_matmul,B*QH,S,S,128,19;20,,,config+architecture,"GQA QH=32, KVH=8"
models--NousResearch--Meta-Llama-3.1-8B-Instruct,23,prefill,2,model.layers.2.self_attn.pv,batched_matmul,B*QH,S,128,S,22;21,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--NousResearch--Meta-Llama-3.1-8B-Instruct,24,prefill,2,model.layers.2.self_attn.o_proj,linear,,B*S,4096,4096,23,model.layers.2.self_attn.o_proj.weight,"[4096,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,25,prefill,2,model.layers.2.mlp.gate_proj,linear,,B*S,14336,4096,24,model.layers.2.mlp.gate_proj.weight,"[14336,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,26,prefill,2,model.layers.2.mlp.up_proj,linear,,B*S,14336,4096,24,model.layers.2.mlp.up_proj.weight,"[14336,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,27,prefill,2,model.layers.2.mlp.down_proj,linear,,B*S,4096,14336,25;26,model.layers.2.mlp.down_proj.weight,"[4096,14336]",config+architecture,SiLU(gate)*up precedes this GEMM
models--NousResearch--Meta-Llama-3.1-8B-Instruct,28,prefill,3,model.layers.3.self_attn.q_proj,linear,,B*S,4096,4096,27,model.layers.3.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,29,prefill,3,model.layers.3.self_attn.k_proj,linear,,B*S,1024,4096,27,model.layers.3.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,30,prefill,3,model.layers.3.self_attn.v_proj,linear,,B*S,1024,4096,27,model.layers.3.self_attn.v_proj.weight,"[1024,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,31,prefill,3,model.layers.3.self_attn.qk,batched_matmul,B*QH,S,S,128,28;29,,,config+architecture,"GQA QH=32, KVH=8"
models--NousResearch--Meta-Llama-3.1-8B-Instruct,32,prefill,3,model.layers.3.self_attn.pv,batched_matmul,B*QH,S,128,S,31;30,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--NousResearch--Meta-Llama-3.1-8B-Instruct,33,prefill,3,model.layers.3.self_attn.o_proj,linear,,B*S,4096,4096,32,model.layers.3.self_attn.o_proj.weight,"[4096,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,34,prefill,3,model.layers.3.mlp.gate_proj,linear,,B*S,14336,4096,33,model.layers.3.mlp.gate_proj.weight,"[14336,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,35,prefill,3,model.layers.3.mlp.up_proj,linear,,B*S,14336,4096,33,model.layers.3.mlp.up_proj.weight,"[14336,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,36,prefill,3,model.layers.3.mlp.down_proj,linear,,B*S,4096,14336,34;35,model.layers.3.mlp.down_proj.weight,"[4096,14336]",config+architecture,SiLU(gate)*up precedes this GEMM
models--NousResearch--Meta-Llama-3.1-8B-Instruct,37,prefill,4,model.layers.4.self_attn.q_proj,linear,,B*S,4096,4096,36,model.layers.4.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--NousResearch--Meta-Llama-3.1-8B-Instruct,38,prefill,4,model.layers.4.self_attn.k_proj,linear,,B*S,1024,4096,36,model.layers.4.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
