model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--casperhansen--llama-3.3-70b-instruct-awq,1,prefill,0,model.layers.0.self_attn.q_proj,linear,,B*S,8192,8192,,model.layers.0.self_attn.q_proj.weight,"[8192,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,2,prefill,0,model.layers.0.self_attn.k_proj,linear,,B*S,1024,8192,,model.layers.0.self_attn.k_proj.weight,"[1024,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,3,prefill,0,model.layers.0.self_attn.v_proj,linear,,B*S,1024,8192,,model.layers.0.self_attn.v_proj.weight,"[1024,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,4,prefill,0,model.layers.0.self_attn.qk,batched_matmul,B*QH,S,S,128,1;2,,,config+architecture,"GQA QH=64, KVH=8"
models--casperhansen--llama-3.3-70b-instruct-awq,5,prefill,0,model.layers.0.self_attn.pv,batched_matmul,B*QH,S,128,S,4;3,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--casperhansen--llama-3.3-70b-instruct-awq,6,prefill,0,model.layers.0.self_attn.o_proj,linear,,B*S,8192,8192,5,model.layers.0.self_attn.o_proj.weight,"[8192,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,7,prefill,0,model.layers.0.mlp.gate_proj,linear,,B*S,28672,8192,6,model.layers.0.mlp.gate_proj.weight,"[28672,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,8,prefill,0,model.layers.0.mlp.up_proj,linear,,B*S,28672,8192,6,model.layers.0.mlp.up_proj.weight,"[28672,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,9,prefill,0,model.layers.0.mlp.down_proj,linear,,B*S,8192,28672,7;8,model.layers.0.mlp.down_proj.weight,"[8192,28672]",config+architecture,"SiLU(gate)*up precedes this GEMM; AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,10,prefill,1,model.layers.1.self_attn.q_proj,linear,,B*S,8192,8192,9,model.layers.1.self_attn.q_proj.weight,"[8192,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,11,prefill,1,model.layers.1.self_attn.k_proj,linear,,B*S,1024,8192,9,model.layers.1.self_attn.k_proj.weight,"[1024,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,12,prefill,1,model.layers.1.self_attn.v_proj,linear,,B*S,1024,8192,9,model.layers.1.self_attn.v_proj.weight,"[1024,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,13,prefill,1,model.layers.1.self_attn.qk,batched_matmul,B*QH,S,S,128,10;11,,,config+architecture,"GQA QH=64, KVH=8"
models--casperhansen--llama-3.3-70b-instruct-awq,14,prefill,1,model.layers.1.self_attn.pv,batched_matmul,B*QH,S,128,S,13;12,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--casperhansen--llama-3.3-70b-instruct-awq,15,prefill,1,model.layers.1.self_attn.o_proj,linear,,B*S,8192,8192,14,model.layers.1.self_attn.o_proj.weight,"[8192,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,16,prefill,1,model.layers.1.mlp.gate_proj,linear,,B*S,28672,8192,15,model.layers.1.mlp.gate_proj.weight,"[28672,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,17,prefill,1,model.layers.1.mlp.up_proj,linear,,B*S,28672,8192,15,model.layers.1.mlp.up_proj.weight,"[28672,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,18,prefill,1,model.layers.1.mlp.down_proj,linear,,B*S,8192,28672,16;17,model.layers.1.mlp.down_proj.weight,"[8192,28672]",config+architecture,"SiLU(gate)*up precedes this GEMM; AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,19,prefill,2,model.layers.2.self_attn.q_proj,linear,,B*S,8192,8192,18,model.layers.2.self_attn.q_proj.weight,"[8192,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,20,prefill,2,model.layers.2.self_attn.k_proj,linear,,B*S,1024,8192,18,model.layers.2.self_attn.k_proj.weight,"[1024,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,21,prefill,2,model.layers.2.self_attn.v_proj,linear,,B*S,1024,8192,18,model.layers.2.self_attn.v_proj.weight,"[1024,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,22,prefill,2,model.layers.2.self_attn.qk,batched_matmul,B*QH,S,S,128,19;20,,,config+architecture,"GQA QH=64, KVH=8"
models--casperhansen--llama-3.3-70b-instruct-awq,23,prefill,2,model.layers.2.self_attn.pv,batched_matmul,B*QH,S,128,S,22;21,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--casperhansen--llama-3.3-70b-instruct-awq,24,prefill,2,model.layers.2.self_attn.o_proj,linear,,B*S,8192,8192,23,model.layers.2.self_attn.o_proj.weight,"[8192,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,25,prefill,2,model.layers.2.mlp.gate_proj,linear,,B*S,28672,8192,24,model.layers.2.mlp.gate_proj.weight,"[28672,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,26,prefill,2,model.layers.2.mlp.up_proj,linear,,B*S,28672,8192,24,model.layers.2.mlp.up_proj.weight,"[28672,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,27,prefill,2,model.layers.2.mlp.down_proj,linear,,B*S,8192,28672,25;26,model.layers.2.mlp.down_proj.weight,"[8192,28672]",config+architecture,"SiLU(gate)*up precedes this GEMM; AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,28,prefill,3,model.layers.3.self_attn.q_proj,linear,,B*S,8192,8192,27,model.layers.3.self_attn.q_proj.weight,"[8192,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,29,prefill,3,model.layers.3.self_attn.k_proj,linear,,B*S,1024,8192,27,model.layers.3.self_attn.k_proj.weight,"[1024,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,30,prefill,3,model.layers.3.self_attn.v_proj,linear,,B*S,1024,8192,27,model.layers.3.self_attn.v_proj.weight,"[1024,8192]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--casperhansen--llama-3.3-70b-instruct-awq,31,prefill,3,model.layers.3.self_attn.qk,batched_matmul,B*QH,S,S,128,28;29,,,config+architecture,"GQA QH=64, KVH=8"
