model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--Qwen--Qwen2.5-Coder-32B-Instruct-AWQ,1,prefill,0,model.layers.0.self_attn.q_proj,linear,,B*S,5120,5120,,model.layers.0.self_attn.q_proj.weight,"[5120,5120]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--Qwen--Qwen2.5-Coder-32B-Instruct-AWQ,2,prefill,0,model.layers.0.self_attn.k_proj,linear,,B*S,1024,5120,,model.layers.0.self_attn.k_proj.weight,"[1024,5120]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--Qwen--Qwen2.5-Coder-32B-Instruct-AWQ,3,prefill,0,model.layers.0.self_attn.v_proj,linear,,B*S,1024,5120,,model.layers.0.self_attn.v_proj.weight,"[1024,5120]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--Qwen--Qwen2.5-Coder-32B-Instruct-AWQ,4,prefill,0,model.layers.0.self_attn.qk,batched_matmul,B*QH,S,S,128,1;2,,,config+architecture,"GQA QH=40, KVH=8; effective KV may be capped by sliding_window=131072"
models--Qwen--Qwen2.5-Coder-32B-Instruct-AWQ,5,prefill,0,model.layers.0.self_attn.pv,batched_matmul,B*QH,S,128,S,4;3,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--Qwen--Qwen2.5-Coder-32B-Instruct-AWQ,6,prefill,0,model.layers.0.self_attn.o_proj,linear,,B*S,5120,5120,5,model.layers.0.self_attn.o_proj.weight,"[5120,5120]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--Qwen--Qwen2.5-Coder-32B-Instruct-AWQ,7,prefill,0,model.layers.0.mlp.gate_proj,linear,,B*S,27648,5120,6,model.layers.0.mlp.gate_proj.weight,"[27648,5120]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--Qwen--Qwen2.5-Coder-32B-Instruct-AWQ,8,prefill,0,model.layers.0.mlp.up_proj,linear,,B*S,27648,5120,6,model.layers.0.mlp.up_proj.weight,"[27648,5120]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--Qwen--Qwen2.5-Coder-32B-Instruct-AWQ,9,prefill,0,model.layers.0.mlp.down_proj,linear,,B*S,5120,27648,7;8,model.layers.0.mlp.down_proj.weight,"[5120,27648]",config+architecture,"SiLU(gate)*up precedes this GEMM; AWQ changes physical storage, not logical MNK"
models--Qwen--Qwen2.5-Coder-32B-Instruct-AWQ,10,prefill,1,model.layers.1.self_attn.q_proj,linear,,B*S,5120,5120,9,model.layers.1.self_attn.q_proj.weight,"[5120,5120]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--Qwen--Qwen2.5-Coder-32B-Instruct-AWQ,11,prefill,1,model.layers.1.self_attn.k_proj,linear,,B*S,1024,5120,9,model.layers.1.self_attn.k_proj.weight,"[1024,5120]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--Qwen--Qwen2.5-Coder-32B-Instruct-AWQ,12,prefill,1,model.layers.1.self_attn.v_proj,linear,,B*S,1024,5120,9,model.layers.1.self_attn.v_proj.weight,"[1024,5120]",config+architecture,"AWQ changes physical storage, not logical MNK"
models--Qwen--Qwen2.5-Coder-32B-Instruct-AWQ,13,prefill,1,model.layers.1.self_attn.qk,batched_matmul,B*QH,S,S,128,10;11,,,config+architecture,"GQA QH=40, KVH=8; effective KV may be capped by sliding_window=131072"
