model,family,trace_file,row_count,phases,status,symbols,scope,notes
models--BAAI--bge-large-en-v1.5,bert_embedding,traces/BAAI__bge-large-en-v1.5.csv,193,encode,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--NousResearch--Meta-Llama-3.1-8B-Instruct,causal_transformer,traces/NousResearch__Meta-Llama-3.1-8B-Instruct.csv,578,prefill;decode_step,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--Qwen--Qwen2.5-3B-Instruct,causal_transformer,traces/Qwen__Qwen2.5-3B-Instruct.csv,650,prefill;decode_step,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--Qwen--Qwen2.5-72B-Instruct-AWQ,causal_transformer,traces/Qwen__Qwen2.5-72B-Instruct-AWQ.csv,1442,prefill;decode_step,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--Qwen--Qwen2.5-7B-Instruct,causal_transformer,traces/Qwen__Qwen2.5-7B-Instruct.csv,506,prefill;decode_step,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--Qwen--Qwen2.5-Coder-14B-Instruct,causal_transformer,traces/Qwen__Qwen2.5-Coder-14B-Instruct.csv,866,prefill;decode_step,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--Qwen--Qwen2.5-Coder-32B-Instruct-AWQ,causal_transformer,traces/Qwen__Qwen2.5-Coder-32B-Instruct-AWQ.csv,1154,prefill;decode_step,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--Qwen--Qwen2.5-Coder-3B-Instruct,causal_transformer,traces/Qwen__Qwen2.5-Coder-3B-Instruct.csv,650,prefill;decode_step,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--Qwen--Qwen2.5-Coder-7B-Instruct,causal_transformer,traces/Qwen__Qwen2.5-Coder-7B-Instruct.csv,506,prefill;decode_step,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--Qwen--Qwen3-14B,causal_transformer,traces/Qwen__Qwen3-14B.csv,722,prefill;decode_step,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
