model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--BAAI--bge-large-en-v1.5,1,encode,0,encoder.layer.0.attention.q,linear,,B*S,1024,1024,,encoder.layer.0.attention.self.query.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,2,encode,0,encoder.layer.0.attention.k,linear,,B*S,1024,1024,,encoder.layer.0.attention.self.key.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,3,encode,0,encoder.layer.0.attention.v,linear,,B*S,1024,1024,,encoder.layer.0.attention.self.value.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,4,encode,0,encoder.layer.0.attention.qk,batched_matmul,B*heads,S,S,64,1;2,,,config+architecture,
models--BAAI--bge-large-en-v1.5,5,encode,0,encoder.layer.0.attention.pv,batched_matmul,B*heads,S,64,S,4;3,,,config+architecture,softmax is a non-matmul dependency bridge
models--BAAI--bge-large-en-v1.5,6,encode,0,encoder.layer.0.attention.output,linear,,B*S,1024,1024,5,encoder.layer.0.attention.output.dense.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,7,encode,0,encoder.layer.0.ffn.intermediate,linear,,B*S,4096,1024,6,encoder.layer.0.intermediate.dense.weight,"[4096,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,8,encode,0,encoder.layer.0.ffn.output,linear,,B*S,1024,4096,7,encoder.layer.0.output.dense.weight,"[1024,4096]",config+architecture,
models--BAAI--bge-large-en-v1.5,9,encode,1,encoder.layer.1.attention.q,linear,,B*S,1024,1024,8,encoder.layer.1.attention.self.query.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,10,encode,1,encoder.layer.1.attention.k,linear,,B*S,1024,1024,8,encoder.layer.1.attention.self.key.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,11,encode,1,encoder.layer.1.attention.v,linear,,B*S,1024,1024,8,encoder.layer.1.attention.self.value.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,12,encode,1,encoder.layer.1.attention.qk,batched_matmul,B*heads,S,S,64,9;10,,,config+architecture,
models--BAAI--bge-large-en-v1.5,13,encode,1,encoder.layer.1.attention.pv,batched_matmul,B*heads,S,64,S,12;11,,,config+architecture,softmax is a non-matmul dependency bridge
models--BAAI--bge-large-en-v1.5,14,encode,1,encoder.layer.1.attention.output,linear,,B*S,1024,1024,13,encoder.layer.1.attention.output.dense.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,15,encode,1,encoder.layer.1.ffn.intermediate,linear,,B*S,4096,1024,14,encoder.layer.1.intermediate.dense.weight,"[4096,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,16,encode,1,encoder.layer.1.ffn.output,linear,,B*S,1024,4096,15,encoder.layer.1.output.dense.weight,"[1024,4096]",config+architecture,
models--BAAI--bge-large-en-v1.5,17,encode,2,encoder.layer.2.attention.q,linear,,B*S,1024,1024,16,encoder.layer.2.attention.self.query.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,18,encode,2,encoder.layer.2.attention.k,linear,,B*S,1024,1024,16,encoder.layer.2.attention.self.key.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,19,encode,2,encoder.layer.2.attention.v,linear,,B*S,1024,1024,16,encoder.layer.2.attention.self.value.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,20,encode,2,encoder.layer.2.attention.qk,batched_matmul,B*heads,S,S,64,17;18,,,config+architecture,
models--BAAI--bge-large-en-v1.5,21,encode,2,encoder.layer.2.attention.pv,batched_matmul,B*heads,S,64,S,20;19,,,config+architecture,softmax is a non-matmul dependency bridge
models--BAAI--bge-large-en-v1.5,22,encode,2,encoder.layer.2.attention.output,linear,,B*S,1024,1024,21,encoder.layer.2.attention.output.dense.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,23,encode,2,encoder.layer.2.ffn.intermediate,linear,,B*S,4096,1024,22,encoder.layer.2.intermediate.dense.weight,"[4096,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,24,encode,2,encoder.layer.2.ffn.output,linear,,B*S,1024,4096,23,encoder.layer.2.output.dense.weight,"[1024,4096]",config+architecture,
models--BAAI--bge-large-en-v1.5,25,encode,3,encoder.layer.3.attention.q,linear,,B*S,1024,1024,24,encoder.layer.3.attention.self.query.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,26,encode,3,encoder.layer.3.attention.k,linear,,B*S,1024,1024,24,encoder.layer.3.attention.self.key.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,27,encode,3,encoder.layer.3.attention.v,linear,,B*S,1024,1024,24,encoder.layer.3.attention.self.value.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,28,encode,3,encoder.layer.3.attention.qk,batched_matmul,B*heads,S,S,64,25;26,,,config+architecture,
models--BAAI--bge-large-en-v1.5,29,encode,3,encoder.layer.3.attention.pv,batched_matmul,B*heads,S,64,S,28;27,,,config+architecture,softmax is a non-matmul dependency bridge
models--BAAI--bge-large-en-v1.5,30,encode,3,encoder.layer.3.attention.output,linear,,B*S,1024,1024,29,encoder.layer.3.attention.output.dense.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,31,encode,3,encoder.layer.3.ffn.intermediate,linear,,B*S,4096,1024,30,encoder.layer.3.intermediate.dense.weight,"[4096,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,32,encode,3,encoder.layer.3.ffn.output,linear,,B*S,1024,4096,31,encoder.layer.3.output.dense.weight,"[1024,4096]",config+architecture,
models--BAAI--bge-large-en-v1.5,33,encode,4,encoder.layer.4.attention.q,linear,,B*S,1024,1024,32,encoder.layer.4.attention.self.query.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,34,encode,4,encoder.layer.4.attention.k,linear,,B*S,1024,1024,32,encoder.layer.4.attention.self.key.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,35,encode,4,encoder.layer.4.attention.v,linear,,B*S,1024,1024,32,encoder.layer.4.attention.self.value.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,36,encode,4,encoder.layer.4.attention.qk,batched_matmul,B*heads,S,S,64,33;34,,,config+architecture,
models--BAAI--bge-large-en-v1.5,37,encode,4,encoder.layer.4.attention.pv,batched_matmul,B*heads,S,64,S,36;35,,,config+architecture,softmax is a non-matmul dependency bridge
models--BAAI--bge-large-en-v1.5,38,encode,4,encoder.layer.4.attention.output,linear,,B*S,1024,1024,37,encoder.layer.4.attention.output.dense.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,39,encode,4,encoder.layer.4.ffn.intermediate,linear,,B*S,4096,1024,38,encoder.layer.4.intermediate.dense.weight,"[4096,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,40,encode,4,encoder.layer.4.ffn.output,linear,,B*S,1024,4096,39,encoder.layer.4.output.dense.weight,"[1024,4096]",config+architecture,
models--BAAI--bge-large-en-v1.5,41,encode,5,encoder.layer.5.attention.q,linear,,B*S,1024,1024,40,encoder.layer.5.attention.self.query.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,42,encode,5,encoder.layer.5.attention.k,linear,,B*S,1024,1024,40,encoder.layer.5.attention.self.key.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,43,encode,5,encoder.layer.5.attention.v,linear,,B*S,1024,1024,40,encoder.layer.5.attention.self.value.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,44,encode,5,encoder.layer.5.attention.qk,batched_matmul,B*heads,S,S,64,41;42,,,config+architecture,
models--BAAI--bge-large-en-v1.5,45,encode,5,encoder.layer.5.attention.pv,batched_matmul,B*heads,S,64,S,44;43,,,config+architecture,softmax is a non-matmul dependency bridge
models--BAAI--bge-large-en-v1.5,46,encode,5,encoder.layer.5.attention.output,linear,,B*S,1024,1024,45,encoder.layer.5.attention.output.dense.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,47,encode,5,encoder.layer.5.ffn.intermediate,linear,,B*S,4096,1024,46,encoder.layer.5.intermediate.dense.weight,"[4096,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,48,encode,5,encoder.layer.5.ffn.output,linear,,B*S,1024,4096,47,encoder.layer.5.output.dense.weight,"[1024,4096]",config+architecture,
models--BAAI--bge-large-en-v1.5,49,encode,6,encoder.layer.6.attention.q,linear,,B*S,1024,1024,48,encoder.layer.6.attention.self.query.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,50,encode,6,encoder.layer.6.attention.k,linear,,B*S,1024,1024,48,encoder.layer.6.attention.self.key.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,51,encode,6,encoder.layer.6.attention.v,linear,,B*S,1024,1024,48,encoder.layer.6.attention.self.value.weight,"[1024,1024]",config+architecture,
models--BAAI--bge-large-en-v1.5,52,encode,6,encoder.layer.6.attention.qk,batched_matmul,B*heads,S,S,64,49;50,,,config+architecture,
models--BAAI--bge-large-en-v1.5,53,encode,6,encoder.layer.6.attention.pv,batched_matmul,B*heads,S,64,S,52;51,,,config+architecture,softmax is a non-matmul dependency bridge
