model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--Qwen--Qwen2.5-3B-Instruct,1,prefill,0,model.layers.0.self_attn.q_proj,linear,,B*S,2048,2048,,model.layers.0.self_attn.q_proj.weight,"[2048,2048]",config+architecture,
models--Qwen--Qwen2.5-3B-Instruct,2,prefill,0,model.layers.0.self_attn.k_proj,linear,,B*S,256,2048,,model.layers.0.self_attn.k_proj.weight,"[256,2048]",config+architecture,
models--Qwen--Qwen2.5-3B-Instruct,3,prefill,0,model.layers.0.self_attn.v_proj,linear,,B*S,256,2048,,model.layers.0.self_attn.v_proj.weight,"[256,2048]",config+architecture,
models--Qwen--Qwen2.5-3B-Instruct,4,prefill,0,model.layers.0.self_attn.qk,batched_matmul,B*QH,S,S,128,1;2,,,config+architecture,"GQA QH=16, KVH=2; effective KV may be capped by sliding_window=32768"
models--Qwen--Qwen2.5-3B-Instruct,5,prefill,0,model.layers.0.self_attn.pv,batched_matmul,B*QH,S,128,S,4;3,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--Qwen--Qwen2.5-3B-Instruct,6,prefill,0,model.layers.0.self_attn.o_proj,linear,,B*S,2048,2048,5,model.layers.0.self_attn.o_proj.weight,"[2048,2048]",config+architecture,
models--Qwen--Qwen2.5-3B-Instruct,7,prefill,0,model.layers.0.mlp.gate_proj,linear,,B*S,11008,2048,6,model.layers.0.mlp.gate_proj.weight,"[11008,2048]",config+architecture,
models--Qwen--Qwen2.5-3B-Instruct,8,prefill,0,model.layers.0.mlp.up_proj,linear,,B*S,11008,2048,6,model.layers.0.mlp.up_proj.weight,"[11008,2048]",config+architecture,
models--Qwen--Qwen2.5-3B-Instruct,9,prefill,0,model.layers.0.mlp.down_proj,linear,,B*S,2048,11008,7;8,model.layers.0.mlp.down_proj.weight,"[2048,11008]",config+architecture,SiLU(gate)*up precedes this GEMM
models--Qwen--Qwen2.5-3B-Instruct,10,prefill,1,model.layers.1.self_attn.q_proj,linear,,B*S,2048,2048,9,model.layers.1.self_attn.q_proj.weight,"[2048,2048]",config+architecture,
models--Qwen--Qwen2.5-3B-Instruct,11,prefill,1,model.layers.1.self_attn.k_proj,linear,,B*S,256,2048,9,model.layers.1.self_attn.k_proj.weight,"[256,2048]",config+architecture,
models--Qwen--Qwen2.5-3B-Instruct,12,prefill,1,model.layers.1.self_attn.v_proj,linear,,B*S,256,2048,9,model.layers.1.self_attn.v_proj.weight,"[256,2048]",config+architecture,
models--Qwen--Qwen2.5-3B-Instruct,13,prefill,1,model.layers.1.self_attn.qk,batched_matmul,B*QH,S,S,128,10;11,,,config+architecture,"GQA QH=16, KVH=2; effective KV may be capped by sliding_window=32768"
models--Qwen--Qwen2.5-3B-Instruct,14,prefill,1,model.layers.1.self_attn.pv,batched_matmul,B*QH,S,128,S,13;12,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--Qwen--Qwen2.5-3B-Instruct,15,prefill,1,model.layers.1.self_attn.o_proj,linear,,B*S,2048,2048,14,model.layers.1.self_attn.o_proj.weight,"[2048,2048]",config+architecture,
models--Qwen--Qwen2.5-3B-Instruct,16,prefill,1,model.layers.1.mlp.gate_proj,linear,,B*S,11008,2048,15,model.layers.1.mlp.gate_proj.weight,"[11008,2048]",config+architecture,
models--Qwen--Qwen2.5-3B-Instruct,17,prefill,1,model.layers.1.mlp.up_proj,linear,,B*S,11008,2048,15,model.layers.1.mlp.up_proj.weight,"[11008,2048]",config+architecture,
